Date,Price,Open,High,Low,Vol.,Change %
5/23/2023,79.13,79.1,79.5,78.74,5.28M,0.09%
5/22/2023,79.06,78.71,79.35,78.59,8.16M,0.60%
5/19/2023,78.59,78.25,78.78,78.11,6.30M,0.51%
5/18/2023,78.19,78,78.35,77.52,5.27M,0.39%
5/17/2023,77.89,77.77,78.18,77.35,4.64M,0.14%
5/16/2023,77.78,77.71,78.04,77.14,6.49M,-0.70%
5/15/2023,78.33,77.31,78.82,77.11,12.91M,1.24%
5/12/2023,77.37,76.6,78.18,76.6,5.80M,0.43%
5/11/2023,77.04,76.27,77.27,76.06,6.94M,1.37%
5/10/2023,76,76.6,76.65,75.5,7.23M,0.65%
5/9/2023,75.51,75.27,75.55,74.89,4.75M,-0.05%
5/8/2023,75.55,75.68,76.05,75.44,4.07M,-0.59%
5/5/2023,76,74.83,76.03,74.81,5.20M,1.89%
5/4/2023,74.59,74.9,74.93,73.61,9.61M,-0.85%
5/3/2023,75.23,75.75,76.18,75.14,5.60M,-1.01%
5/2/2023,76,77.04,77.1,75.5,9.07M,-1.85%
5/1/2023,77.43,77.6,77.84,77.29,5.70M,-0.36%
4/28/2023,77.71,77.66,77.89,76.94,9.83M,0.13%
4/27/2023,77.61,77.17,77.86,76.82,12.13M,1.04%
4/26/2023,76.81,79.1,79.77,76.5,50.15M,-11.45%
4/25/2023,86.74,85.91,87.01,85.56,13.32M,0.76%
4/24/2023,86.09,85.25,86.25,85.08,8.07M,0.65%
4/21/2023,85.53,85.7,85.94,85.44,5.61M,-0.05%
4/20/2023,85.57,85.66,86.12,85.49,7.03M,0.08%
4/19/2023,85.5,85.41,85.75,85.4,5.05M,-0.06%
4/18/2023,85.55,85.6,85.86,85.33,5.00M,0.06%
4/17/2023,85.5,85.08,85.53,84.62,4.58M,0.27%
4/14/2023,85.27,85.28,85.64,85.06,3.54M,-0.36%
4/13/2023,85.58,85.37,85.79,85.26,5.45M,0.74%
4/12/2023,84.95,85.28,85.5,84.87,7.10M,-0.16%
4/11/2023,85.09,85.26,85.68,84.99,8.33M,-0.46%
4/10/2023,85.48,85.24,85.6,84.96,4.90M,0.31%
4/6/2023,85.22,85.5,85.65,85.18,6.62M,-0.19%
4/5/2023,85.38,85.2,85.88,84.9,7.01M,0.32%
4/4/2023,85.11,85.13,85.57,85.01,6.54M,-0.26%
4/3/2023,85.33,85.41,85.67,84.46,6.46M,-0.30%
3/31/2023,85.59,84.95,85.74,84.7,5.24M,0.82%
3/30/2023,84.89,84.75,85.1,84.62,5.05M,0.41%
3/29/2023,84.54,84.39,84.6,84.15,6.68M,0.23%
3/28/2023,84.35,84.5,84.75,84.04,5.44M,0.02%
3/27/2023,84.33,84.12,84.93,84.08,7.29M,-0.07%
3/24/2023,84.39,84.84,85.72,83.32,24.51M,5.91%
3/23/2023,79.68,79.57,80.2,79.25,4.25M,1.32%
3/22/2023,78.64,79.5,79.99,78.62,3.59M,-1.39%
3/21/2023,79.75,79.51,80.01,79.45,5.40M,0.52%
3/20/2023,79.34,79.16,79.49,77.5,6.44M,0.44%
3/17/2023,78.99,80.21,80.28,78.78,9.41M,-1.10%
3/16/2023,79.87,78.86,80.39,78.83,4.88M,0.77%
3/15/2023,79.26,78.94,79.28,78.56,7.14M,0.21%
3/14/2023,79.09,78.33,79.47,78.24,5.39M,1.22%
3/13/2023,78.14,77.94,78.98,77.36,5.73M,0.22%
3/10/2023,77.97,78.43,78.54,77.23,5.30M,-0.51%
3/9/2023,78.37,79.83,79.83,78.11,4.77M,-1.40%
3/8/2023,79.48,79.3,79.7,79.06,4.29M,0.28%
3/7/2023,79.26,79.61,80.25,79.14,5.33M,-0.46%
3/6/2023,79.63,79.67,79.97,79.22,4.55M,0.30%
3/3/2023,79.39,78.43,79.6,78.13,9.11M,2.16%
3/2/2023,77.71,76.47,77.92,75.93,8.16M,2.63%
3/1/2023,75.72,76.16,76.48,75.64,4.26M,-0.70%
2/28/2023,76.25,76.74,76.74,76.06,4.43M,-0.64%
2/27/2023,76.74,77.07,77.16,76.32,3.91M,-0.10%
2/24/2023,76.82,76.67,76.9,76.47,3.90M,-0.32%
2/23/2023,77.07,77.16,77.25,76.64,4.02M,-0.06%
2/22/2023,77.12,77.28,77.5,77,3.94M,0.16%
2/21/2023,77,77.45,77.59,76,6.89M,-0.73%
2/17/2023,77.57,77.11,77.57,76.83,5.36M,0.08%
2/16/2023,77.51,77.4,77.87,76.76,4.92M,-0.24%
2/15/2023,77.7,76.33,77.96,75.85,6.59M,1.20%
2/14/2023,76.78,76.78,77.15,76.02,6.10M,0.25%
2/13/2023,76.59,75.88,76.92,75.65,5.37M,1.51%
2/10/2023,75.45,75.47,76.39,75.12,6.92M,0.25%
2/9/2023,75.26,73.55,75.63,73.48,12.59M,3.25%
2/8/2023,72.89,73,74.75,72.45,26.71M,-3.58%
2/7/2023,75.6,74.65,75.97,74.14,14.87M,5.62%
2/6/2023,71.58,73.75,73.85,71.4,13.20M,-4.86%
2/3/2023,75.24,76.64,76.78,75.03,5.78M,-2.43%
2/2/2023,77.11,76.5,77.39,76.07,4.68M,0.53%
2/1/2023,76.7,76,76.82,75.58,4.57M,0.17%
1/31/2023,76.57,76.13,77,75.85,4.12M,0.80%
1/30/2023,75.96,76.63,77.08,75.84,3.92M,-0.85%
1/27/2023,76.61,75.5,76.76,75.22,4.38M,1.34%
1/26/2023,75.6,74.79,75.66,74.65,3.96M,1.29%
1/25/2023,74.64,75,75.11,74.53,3.98M,-0.63%
1/24/2023,75.11,75,75.43,74.5,5.06M,-0.15%
1/23/2023,75.22,73.82,75.41,73.81,6.27M,1.87%
1/20/2023,73.84,73.52,74.01,73.39,7.35M,0.11%
1/19/2023,73.76,74.48,74.5,73.7,5.31M,-0.97%
1/18/2023,74.48,74.62,74.74,73.38,7.91M,-0.11%
1/17/2023,74.56,75.89,75.96,74.42,10.04M,-2.74%
1/13/2023,76.66,76.89,76.9,76.18,4.33M,-0.31%
1/12/2023,76.9,76.89,77.28,76.5,4.89M,-0.13%
1/11/2023,77,77.69,77.76,76.93,5.06M,-0.89%
1/10/2023,77.69,77.04,77.95,77.04,5.13M,0.61%
1/9/2023,77.22,77.5,78.18,77.18,8.17M,-0.48%
1/6/2023,77.59,77.15,77.71,77.08,5.44M,0.82%
1/5/2023,76.96,76.6,77.29,76.6,3.72M,0.16%
1/4/2023,76.84,77.37,77.4,76.49,4.80M,-0.05%
1/3/2023,76.88,76.6,76.93,76.4,3.99M,0.43%
12/30/2022,76.55,76.5,76.66,76.22,2.71M,-0.27%
12/29/2022,76.76,76.04,76.87,76.03,3.15M,0.93%
12/28/2022,76.05,75.64,76.48,75.5,3.02M,0.34%
12/27/2022,75.79,75.9,76.04,75.54,1.70M,-0.21%
12/23/2022,75.95,75.7,76.07,75.5,2.07M,0.33%
12/22/2022,75.7,75.62,75.94,75.54,3.14M,-0.25%
12/21/2022,75.89,75.97,76.21,75.47,4.92M,0.01%
12/20/2022,75.88,75.7,76.32,75.68,3.16M,-0.14%
12/19/2022,75.99,76.15,76.47,75.94,3.09M,-0.12%
12/16/2022,76.08,76.05,76.59,75.92,8.68M,-0.38%
12/15/2022,76.37,76.71,76.81,76.26,6.94M,-0.87%
12/14/2022,77.04,76.66,77.41,76.66,4.89M,0.40%
12/13/2022,76.73,77.35,77.35,76.45,8.22M,-0.81%
12/12/2022,77.36,75,77.55,74.38,11.17M,2.93%
12/9/2022,75.16,74.51,75.47,74.05,8.25M,0.54%
12/8/2022,74.76,75.44,75.52,73,19.25M,-1.54%
12/7/2022,75.93,76.76,77.08,74.75,11.77M,-0.24%
12/6/2022,76.11,76.59,76.93,76.1,8.01M,-0.29%
12/5/2022,76.33,76.99,77.01,76.04,7.53M,0.75%
12/2/2022,75.76,74.7,75.97,74.57,6.15M,0.76%
12/1/2022,75.19,74.43,75.44,73.92,7.39M,1.68%
11/30/2022,73.95,73.78,74,73.45,9.74M,-0.52%
11/29/2022,74.34,74.25,74.54,73.8,6.28M,-0.51%
11/28/2022,74.72,74.57,75.67,73.65,10.88M,1.70%
11/25/2022,73.47,73.89,74.27,73.05,9.18M,-4.07%
11/23/2022,76.59,75.9,76.6,75.74,3.94M,0.94%
11/22/2022,75.88,75.29,76.06,74.96,5.30M,1.44%
11/21/2022,74.8,74.1,74.91,73.75,6.22M,0.94%
11/18/2022,74.1,74.16,74.29,73.84,7.75M,0.39%
11/17/2022,73.81,73.4,74.11,73.38,7.08M,-0.73%
11/16/2022,74.35,74.11,74.64,73.99,5.51M,0.64%
11/15/2022,73.88,74.6,74.67,73.28,6.77M,-0.11%
11/14/2022,73.96,74.36,74.44,73.92,5.49M,-0.24%
11/11/2022,74.14,73.75,74.47,73.57,4.45M,0.71%
11/10/2022,73.62,72.6,73.74,72.03,9.19M,2.74%
11/9/2022,71.66,71.86,72.21,71.64,4.42M,-0.47%
11/8/2022,72,71.75,72.56,71.35,8.81M,1.27%
11/7/2022,71.1,71.51,71.68,70.94,8.74M,-1.20%
11/4/2022,71.96,72.08,72.34,71.45,4.33M,0.08%
11/3/2022,71.9,72.5,72.9,71.72,4.45M,-1.05%
11/2/2022,72.66,73.86,73.96,72.61,5.53M,-0.89%
11/1/2022,73.31,73.26,74.01,73.22,5.81M,0.70%
10/31/2022,72.8,72.93,73.25,72.4,6.63M,-0.07%
10/28/2022,72.85,72.53,73.05,72.32,7.21M,0.48%
10/27/2022,72.5,72.36,72.82,72.05,4.54M,0.03%
10/26/2022,72.48,72.84,73.04,72.36,6.09M,-0.03%
10/25/2022,72.5,72.73,72.99,72.44,6.58M,-0.01%
10/24/2022,72.51,72.83,72.83,71.89,4.50M,-0.28%
10/21/2022,72.71,72.93,73.17,72.43,4.37M,-0.82%
10/20/2022,73.31,72.24,73.83,72.24,5.18M,1.52%
10/19/2022,72.21,72.01,72.47,71.79,4.60M,-0.07%
10/18/2022,72.26,72.23,72.5,72.03,5.31M,0.70%
10/17/2022,71.76,72.8,72.93,71.71,14.49M,-0.51%
10/14/2022,72.13,73.44,73.66,72.08,5.14M,-1.35%
10/13/2022,73.12,72.92,73.89,72.41,6.17M,-0.52%
10/12/2022,73.5,73.54,73.65,73.17,4.10M,-0.07%
10/11/2022,73.55,73.6,74.02,73.25,5.38M,-0.27%
10/10/2022,73.75,73.35,74.11,73.28,4.28M,0.55%
10/7/2022,73.35,73.59,73.73,73.04,4.21M,-0.65%
10/6/2022,73.83,74.09,74.39,73.64,5.82M,-0.38%
10/5/2022,74.11,74.84,75,73.83,7.54M,-1.19%
10/4/2022,75,74.71,75.38,74.56,9.47M,0.86%
10/3/2022,74.36,74.41,74.8,74.11,4.56M,0.03%
9/30/2022,74.34,74.9,75.3,74.22,9.50M,-0.71%
9/29/2022,74.87,75.19,75.36,74.33,5.98M,-0.69%
9/28/2022,75.39,74.86,75.72,74.42,7.53M,0.71%
9/27/2022,74.86,74.7,75.33,74.47,6.33M,0.71%
9/26/2022,74.33,74.84,75.32,74.25,5.57M,-0.83%
9/23/2022,74.95,76.59,76.66,74.82,8.18M,-2.70%
9/22/2022,77.03,75.31,77.23,75.18,8.43M,2.27%
9/21/2022,75.32,75.18,76.14,74.83,5.32M,0.37%
9/20/2022,75.04,76,76.15,75,4.84M,-1.19%
9/19/2022,75.94,75.85,76.28,75.51,5.84M,-0.11%
9/16/2022,76.02,76.71,77.07,75.78,18.97M,-1.05%
9/15/2022,76.83,76.5,77.22,76.31,5.48M,0.30%
9/14/2022,76.6,77,77.14,76.04,7.49M,-0.21%
9/13/2022,76.76,77.49,78.04,76.64,5.87M,-1.75%
9/12/2022,78.13,78.75,78.92,77.95,4.80M,-0.48%
9/9/2022,78.51,77.57,78.58,77.37,5.83M,1.45%
9/8/2022,77.39,77.62,77.69,77,6.20M,-0.42%
9/7/2022,77.72,76.88,77.86,76.77,3.83M,1.15%
9/6/2022,76.84,77.59,77.6,76.67,6.64M,-0.89%
9/2/2022,77.53,78.5,78.56,77.36,4.33M,-1.30%
9/1/2022,78.55,78.21,79,78.1,4.87M,0.08%
8/31/2022,78.49,78.98,79.14,78.47,4.22M,-0.17%
8/30/2022,78.62,78.83,78.94,78.47,4.11M,-0.17%
8/29/2022,78.75,78.55,79.08,78.5,3.66M,0.15%
8/26/2022,78.63,79.42,79.5,78.58,5.15M,-0.56%
8/25/2022,79.07,79.5,79.52,78.32,4.48M,-0.26%
8/24/2022,79.28,79.36,79.73,79.13,3.47M,-0.08%
8/23/2022,79.34,79.53,79.77,79.3,2.82M,-0.53%
8/22/2022,79.76,79.83,80.07,79.61,3.72M,-0.64%
8/19/2022,80.27,80.33,81.5,79.97,4.69M,-0.21%
8/18/2022,80.44,80.71,80.75,80.23,3.26M,-0.11%
8/17/2022,80.53,80.76,80.91,79.81,7.25M,-0.48%
8/16/2022,80.92,80.81,81.17,80.55,5.65M,0.24%
8/15/2022,80.73,80.6,80.8,80.38,4.12M,-0.07%
8/12/2022,80.79,80.75,80.95,80.66,5.82M,0.35%
8/11/2022,80.51,81,81.13,80.5,2.63M,-0.49%
8/10/2022,80.91,81.14,81.22,80.49,5.31M,0.40%
8/9/2022,80.59,81.1,81.24,80.41,4.69M,-0.51%
8/8/2022,81,80.57,81.05,80.57,7.41M,0.63%
8/5/2022,80.49,80.18,80.65,80.03,2.38M,-0.21%
8/4/2022,80.66,80.65,81.31,80.6,3.67M,0.09%
8/3/2022,80.59,79.54,80.71,79.5,6.73M,1.60%
8/2/2022,79.32,79.95,80.35,79.17,4.30M,-0.95%
8/1/2022,80.08,79.97,80.31,79.47,3.22M,0.16%
7/29/2022,79.95,79.42,80.24,79.11,3.86M,0.55%
7/28/2022,79.51,79.79,79.79,79.34,4.55M,-0.35%
7/27/2022,79.79,79.6,80,79.3,5.01M,0.42%
7/26/2022,79.46,79.9,79.95,79.07,3.56M,-0.24%
7/25/2022,79.65,79.65,79.98,78.78,5.06M,0.53%
7/22/2022,79.23,79.53,79.53,78.89,2.98M,-0.33%
7/21/2022,79.49,79.35,79.53,79.1,3.48M,0.24%
7/20/2022,79.3,78.83,79.38,78.35,4.27M,0.85%
7/19/2022,78.63,77.4,78.71,77.18,5.74M,2.13%
7/18/2022,76.99,77.57,78.07,76.88,5.76M,-0.52%
7/15/2022,77.39,76.41,77.41,76.23,5.73M,1.51%
7/14/2022,76.24,75.65,76.44,75.38,3.25M,0.37%
7/13/2022,75.96,76.06,76.55,75.79,4.95M,-0.76%
7/12/2022,76.54,77.9,78.21,76.4,6.60M,-1.61%
7/11/2022,77.79,77.92,78.38,77.61,3.05M,-0.44%
7/8/2022,78.13,78.15,78.81,77.86,4.16M,-0.61%
7/7/2022,78.61,78.24,78.72,77.61,4.36M,0.31%
7/6/2022,78.37,78.57,78.86,78.1,3.11M,-0.63%
7/5/2022,78.87,78.55,79,77.79,5.15M,0.38%
7/1/2022,78.57,77.97,78.68,77.7,4.21M,0.91%
6/30/2022,77.86,77.6,78.11,77.19,4.20M,-0.13%
6/29/2022,77.96,77.35,78.15,77.18,4.53M,1.04%
6/28/2022,77.16,78.1,78.24,76.94,4.22M,-1.09%
6/27/2022,78.01,77.63,78.32,77.34,5.84M,0.09%
6/24/2022,77.94,76.78,78.03,76.57,6.54M,1.90%
6/23/2022,76.49,76.3,76.67,75.77,3.61M,1.04%
6/22/2022,75.7,75.5,76.25,75.5,4.18M,-0.46%
6/21/2022,76.05,75.11,76.31,75.1,6.81M,1.79%
6/17/2022,74.71,74,75.27,73.72,9.41M,1.06%
6/16/2022,73.93,75,75.4,73.71,7.50M,-1.88%
6/15/2022,75.35,75.13,75.91,74.47,5.68M,0.95%
6/14/2022,74.64,75.25,75.4,74.24,3.85M,-0.16%
6/13/2022,74.76,75.93,76.01,74.72,5.92M,-2.25%
6/10/2022,76.48,76.5,77.02,76.05,3.82M,-0.39%
6/9/2022,76.78,77.51,77.69,76.62,4.30M,-1.09%
6/8/2022,77.63,77.94,78.15,77.47,2.46M,-0.51%
6/7/2022,78.03,77.63,78.1,77.53,2.19M,0.31%
6/6/2022,77.79,78.2,78.51,77.72,3.47M,-0.13%
6/3/2022,77.89,77.84,78.11,77.66,2.64M,-0.43%
6/2/2022,78.23,77.5,78.29,77.33,3.41M,1.06%
6/1/2022,77.41,78.05,78.21,77.04,4.17M,-0.60%
5/31/2022,77.88,77.88,78.83,77.36,11.77M,-0.41%
5/27/2022,78.2,78.21,78.64,77.93,3.55M,0.27%
5/26/2022,77.99,77.59,78.12,77.36,4.49M,0.36%
5/25/2022,77.71,77.07,77.77,77,3.47M,0.88%
5/24/2022,77.03,77.07,77.33,76.4,4.91M,-0.22%
5/23/2022,77.2,77.94,78.15,77.1,4.13M,-0.26%
5/20/2022,77.4,78.06,78.21,77.01,4.90M,-0.44%
5/19/2022,77.74,77.92,78.29,77.41,4.84M,-0.23%
5/18/2022,77.92,78.53,78.62,77.79,3.92M,-0.79%
5/17/2022,78.54,78.5,78.57,78,4.09M,0.69%
5/16/2022,78,77.48,78.03,77.38,3.48M,0.33%
5/13/2022,77.74,77.43,78.32,77.34,4.68M,0.47%
5/12/2022,77.38,76.88,77.87,76.5,5.11M,-0.12%
5/11/2022,77.47,76.68,78.14,76.45,6.49M,0.72%
5/10/2022,76.92,77.71,77.88,76.15,6.76M,-0.32%
5/9/2022,77.17,77.42,77.64,76.34,8.48M,-0.86%
5/6/2022,77.84,78.7,78.86,77.48,10.36M,-1.17%
5/5/2022,78.76,79.11,79.11,78.53,7.75M,-0.61%
5/4/2022,79.24,79.08,79.5,78.66,8.10M,0.58%
5/3/2022,78.78,78.5,79.39,78.18,10.98M,0.92%
5/2/2022,78.06,77.17,78.22,76.94,14.71M,3.25%
4/29/2022,75.6,76.41,76.75,75.33,8.85M,-1.43%
4/28/2022,76.7,76.45,77.36,76.18,8.16M,0.79%
4/27/2022,76.1,76.82,77.28,76.06,7.32M,-1.25%
4/26/2022,77.06,77.82,78.06,77.02,10.78M,-1.27%
4/25/2022,78.05,78.21,78.46,77.41,8.67M,-0.71%
4/22/2022,78.61,78.85,79.01,78.53,3.89M,-0.37%
4/21/2022,78.9,79.03,79.11,78.69,3.62M,-0.01%
4/20/2022,78.91,79.12,79.31,78.86,3.42M,-0.15%
4/19/2022,79.03,78.91,79.35,78.81,3.46M,-0.04%
4/18/2022,79.06,78.8,79.12,78.72,6.20M,0.16%
4/14/2022,78.93,78.96,79.17,78.85,4.57M,-0.21%
4/13/2022,79.1,79.33,79.38,78.79,5.95M,-0.55%
4/12/2022,79.54,79.59,79.82,79.41,4.74M,0.08%
4/11/2022,79.48,80,80.25,79.42,4.40M,-0.76%
4/8/2022,80.09,80.05,80.45,79.91,3.15M,-0.02%
4/7/2022,80.11,80.13,80.45,79.98,3.94M,0.00%
4/6/2022,80.11,79.95,80.51,79.95,4.88M,-0.34%
4/5/2022,80.38,80.61,81.13,80.26,3.60M,-0.43%
4/4/2022,80.73,80.82,80.95,80.47,6.52M,-0.11%
4/1/2022,80.82,79.83,80.87,79.78,3.76M,0.89%
3/31/2022,80.11,80.4,80.75,79.93,7.49M,-0.31%
3/30/2022,80.36,80.51,80.66,80.31,5.13M,-0.48%
3/29/2022,80.75,80.15,80.75,80.15,5.53M,0.92%
3/28/2022,80.01,79.31,80.07,79.18,4.97M,0.52%
3/25/2022,79.6,79.67,79.97,79.5,5.38M,-0.03%
3/24/2022,79.62,79.35,79.65,78.96,3.72M,0.70%
3/23/2022,79.07,79.15,79.84,79.03,5.31M,-0.29%
3/22/2022,79.3,78.9,79.43,78.9,6.44M,0.58%
3/21/2022,78.84,78.84,79.1,78.4,7.75M,0.10%
3/18/2022,78.76,78.75,79.36,78.55,16.21M,-0.16%
3/17/2022,78.89,79.48,79.48,78.61,7.96M,-0.29%
3/16/2022,79.12,79.78,79.85,78.74,10.73M,-0.49%
3/15/2022,79.51,79.43,79.8,79.15,7.35M,-0.05%
3/14/2022,79.55,80.05,80.44,79.45,9.54M,-0.95%
3/11/2022,80.31,80.8,81.2,80.18,10.71M,-0.61%
3/10/2022,80.8,80.77,81.27,80.57,6.98M,-0.04%
3/9/2022,80.83,81.37,81.49,80.66,9.91M,-0.25%
3/8/2022,81.03,80.42,81.43,80.32,7.52M,0.60%
3/7/2022,80.55,81.18,81.5,80.4,8.55M,-1.08%
3/4/2022,81.43,81.36,81.83,81.29,7.53M,-0.09%
3/3/2022,81.5,81.55,81.65,81.09,7.02M,0.02%
3/2/2022,81.48,81.34,81.67,80.94,8.03M,0.74%
3/1/2022,80.88,81.14,81.5,80.57,8.03M,-0.76%
2/28/2022,81.5,81.05,81.57,80.89,10.27M,0.07%
2/25/2022,81.44,81.15,81.54,80.63,5.70M,0.53%
2/24/2022,81.01,80.1,81.18,80.02,10.39M,0.37%
2/23/2022,80.71,81.04,81.12,80.44,9.38M,-0.64%
2/22/2022,81.23,81.15,81.87,81.11,10.98M,0.22%
2/18/2022,81.05,81.04,81.53,80.93,7.75M,0.10%
2/17/2022,80.97,81.46,81.5,80.89,4.95M,-0.60%
2/16/2022,81.46,81.45,81.78,81.1,6.49M,-0.07%
2/15/2022,81.52,81.6,82,81.35,9.03M,0.02%
2/14/2022,81.5,81.49,81.63,81.11,7.06M,0.00%
2/11/2022,81.5,81.5,81.82,81.08,6.97M,0.06%
